,SUIUSDT,HUMAUSDT,ADAUSDT,FILUSDT,AVAXUSDT,BCHUSDT,PAXGUSDT,TAOUSDT,LINKUSDT,XAIUSDT,OGNUSDT,NEARUSDT,DOTUSDT,RESOLVUSDT,FLOWUSDT,SIRENUSDT,ENAUSDT,LTCUSDT,AAVEUSDT,TRXUSDT
SUIUSDT,1.0,0.7894162950074911,0.9781375832185107,0.9352522108808528,0.9610631836104456,0.1634794994685681,-0.906469766010413,0.8629929431740233,0.8914302393059621,0.9671555517478327,0.97963834021729,0.9405991869504559,0.9790818773465279,0.6671520999917501,0.9138035143276529,-0.5047885612265762,0.9221719126943522,0.9245337944287503,0.9796238173259154,0.6927936575594998
HUMAUSDT,0.7894162950074911,1.0,0.710996711183251,0.7835883460986003,0.7113318274723589,0.15823499814499434,-0.759581429320798,0.7465914671833885,0.6235583876320008,0.785435206478846,0.7623133757349846,0.7688690426061323,0.763050706734354,0.6173531398560848,0.804488778103076,-0.6410701615052894,0.6605465398015122,0.738233212212804,0.777028916779057,0.3280495136266896
ADAUSDT,0.9781375832185107,0.710996711183251,1.0,0.9155352742522278,0.9805572058605633,0.16792913574616325,-0.8704309143376585,0.8613670019429502,0.9430193790119571,0.9303932242956119,0.9824730682623642,0.9545269416719335,0.9780756134503968,0.6091281998919538,0.9229701702603788,-0.4359978074008307,0.9623229498152529,0.9530739713849906,0.9687881104377767,0.7484941554128894
FILUSDT,0.9352522108808528,0.7835883460986003,0.9155352742522278,1.0,0.8895184584714791,0.09555699937151636,-0.9188998621559268,0.8353987083237001,0.8056962678038928,0.9450221939982206,0.9352981071329024,0.9409792073930262,0.9609408873262044,0.7727503178776662,0.911644598007113,-0.5345415225486637,0.842397834598259,0.9010386417499502,0.9361288651555917,0.559790348871322
AVAXUSDT,0.9610631836104456,0.7113318274723589,0.9805572058605633,0.8895184584714791,1.0,0.21970377103560657,-0.8153125993206767,0.8199560722506293,0.9431194269968441,0.901995396053735,0.9588800213069049,0.9546799831400187,0.9630914211386803,0.5695602135961885,0.8963794186360017,-0.4099741278328455,0.9536818483369934,0.9398937851604545,0.9405435613323333,0.7638259708813234
BCHUSDT,0.1634794994685681,0.15823499814499434,0.16792913574616325,0.09555699937151636,0.21970377103560657,1.0,0.010035612184987625,0.009926814593473643,0.37706190960032177,0.029765483816110397,0.15748489185431946,0.12988700860853317,0.06791259666161126,-0.08660928498337993,0.0791911506487979,-0.28891841749481617,0.3238759541157773,0.3088194479223663,0.14556972816987548,0.44114809112177134
PAXGUSDT,-0.906469766010413,-0.759581429320798,-0.8704309143376585,-0.9188998621559268,-0.8153125993206767,0.010035612184987625,1.0,-0.7971363265514035,-0.7221548648664585,-0.9552571852506359,-0.911584746416357,-0.8373437217617458,-0.9042219302809494,-0.758683523656441,-0.9078599710361226,0.567684746258104,-0.7913700199971097,-0.8229347899569045,-0.9224577373538264,-0.4541415250445609
TAOUSDT,0.8629929431740233,0.7465914671833885,0.8613670019429502,0.8353987083237001,0.8199560722506293,0.009926814593473643,-0.7971363265514035,1.0,0.7723872522465076,0.8145749398769582,0.8659066672375716,0.8950138952327688,0.878962360494126,0.4774855016869588,0.8870060710912386,-0.5205936347238262,0.8102397243613199,0.8555697430541782,0.8591760130913488,0.45212065235997867
LINKUSDT,0.8914302393059621,0.6235583876320008,0.9430193790119571,0.8056962678038928,0.9431194269968441,0.37706190960032177,-0.7221548648664585,0.7723872522465076,1.0,0.7913816985443589,0.9133250545931962,0.8980584304670773,0.8819355494314606,0.4472682717858504,0.8441198091819321,-0.38247630159518503,0.9743974890792547,0.9479558126460947,0.8858175283361212,0.8453028163954711
XAIUSDT,0.9671555517478327,0.785435206478846,0.9303932242956119,0.9450221939982206,0.901995396053735,0.029765483816110397,-0.9552571852506359,0.8145749398769582,0.7913816985443589,1.0,0.9573518549487613,0.8904950101816727,0.9626699341887291,0.7794146565477472,0.9051544965773018,-0.49901813775820025,0.8394707700164044,0.8515535095662272,0.9657625612056482,0.5685642118278527
