,equity
1773290549664,0.0
1773290550099,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550296,0.0
1773290550313,0.0
1773290550313,0.0
1773290550313,0.0
1773290550698,0.0
1773290551645,0.0
1773290551849,0.0
1773290552296,0.0
1773290552424,0.0
1773290552502,0.0
1773290552641,0.0
1773290552834,0.0
1773290552834,0.0
1773290553177,0.0
1773290553222,0.0
1773290554030,0.0
1773290554224,0.0
1773290555385,0.0
1773290555499,0.0
1773290555536,0.0
1773290556060,0.0
1773290556085,0.0
1773290556130,0.0
1773290556876,0.0
1773290556899,0.0
1773290556978,0.0
1773290557129,0.0
1773290557454,0.0
1773290557625,0.0
1773290557887,0.0
1773290558016,0.0
1773290558086,0.0
1773290558216,0.0
1773290558652,0.0
1773290558690,0.0
1773290559196,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559856,0.0
1773290559867,0.0
1773290559867,0.0
1773290559867,0.0
1773290560756,0.0
1773290561383,0.0
1773290561916,0.0
1773290562240,0.0
1773290562262,0.0
1773290562400,0.0
1773290562963,0.0
1773290564027,0.0
1773290564452,0.0
1773290565143,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565749,0.0
1773290565956,0.0
1773290566154,0.0
1773290566496,0.0
1773290566907,0.0
1773290566925,0.0
1773290567053,0.0
1773290567148,0.0
1773290567148,0.0
1773290567399,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567633,0.0
1773290567635,0.0
1773290567639,0.0
1773290567639,0.0
1773290567639,0.0
1773290567639,0.0
1773290567639,0.0
1773290567639,0.0
1773290567644,0.0
1773290567649,0.0
1773290567649,0.0
1773290567649,0.0
1773290567650,0.0
1773290567650,0.0
1773290567873,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290567892,0.0
1773290568144,0.0
1773290568578,0.0
1773290568767,0.0
1773290568809,0.0
1773290569051,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569424,0.0
1773290569790,0.0
1773290569852,0.0
1773290569852,0.0
1773290569852,0.0
1773290569852,0.0
1773290569852,0.0
1773290569852,0.0
1773290570979,0.0
1773290571431,0.0
1773290571807,0.0
1773290573136,0.0
1773290573687,0.0
1773290573865,0.0
1773290574231,0.0
1773290574504,0.0
1773290574545,0.0
1773290574952,0.0
1773290575636,0.0
1773290576371,0.0
1773290576801,0.0
1773290576902,0.0
1773290577114,0.0
1773290577639,0.0
1773290578014,0.0
1773290578466,0.0
1773290578530,0.0
1773290578598,0.0
1773290578687,0.0
1773290578947,0.0
1773290578955,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579365,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579374,0.0
1773290579536,0.0
1773290579669,0.0
1773290580138,0.0
1773290580362,0.0
1773290580726,0.0
1773290580748,0.0
1773290580748,0.0
1773290580925,0.0
1773290581062,0.0
1773290581448,0.0
1773290581455,0.0
1773290581489,0.0
1773290581915,0.0
1773290582452,0.0
1773290583286,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584642,0.0
1773290584650,0.0
1773290584650,0.0
1773290584650,0.0
1773290584650,0.0
1773290584650,0.0
1773290584686,0.0
1773290584686,0.0
1773290584838,0.0
1773290584838,0.0
1773290585552,0.0
1773290585552,0.0
